排名,名称,链接,星级,评分,评价人数
1,肖申克的救赎,https://movie.douban.com/subject/1292052/,5,9.7,2953735
2,霸王别姬,https://movie.douban.com/subject/1291546/,5,9.6,2182135
3,阿甘正传,https://movie.douban.com/subject/1292720/,5,9.5,2201209
4,泰坦尼克号,https://movie.douban.com/subject/1292722/,5,9.5,2235581
5,这个杀手不太冷,https://movie.douban.com/subject/1295644/,4.5,9.4,2333027
6,千与千寻,https://movie.douban.com/subject/1291561/,4.5,9.4,2284973
7,美丽人生,https://movie.douban.com/subject/1292063/,5,9.5,1349737
8,星际穿越,https://movie.douban.com/subject/1889243/,4.5,9.4,1892095
9,盗梦空间,https://movie.douban.com/subject/3541415/,4.5,9.4,2105130
10,辛德勒的名单,https://movie.douban.com/subject/1295124/,5,9.5,1140138
11,楚门的世界,https://movie.douban.com/subject/1292064/,4.5,9.4,1753975
12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,4.5,9.4,1419859
13,海上钢琴师,https://movie.douban.com/subject/1292001/,4.5,9.3,1706474
14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,4.5,9.2,1890275
15,放牛班的春天,https://movie.douban.com/subject/1291549/,4.5,9.3,1336801
16,机器人总动员,https://movie.douban.com/subject/2131459/,4.5,9.3,1340582
17,疯狂动物城,https://movie.douban.com/subject/25662329/,4.5,9.2,1984167
18,无间道,https://movie.douban.com/subject/1307914/,4.5,9.3,1393685
19,控方证人,https://movie.douban.com/subject/1296141/,5,9.6,582003
20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,4.5,9.2,1559989
21,熔炉,https://movie.douban.com/subject/5912992/,4.5,9.4,947669
22,教父,https://movie.douban.com/subject/1291841/,4.5,9.3,987854
23,触不可及,https://movie.douban.com/subject/6786002/,4.5,9.3,1142791
24,当幸福来敲门,https://movie.douban.com/subject/1849031/,4.5,9.2,1546238
25,寻梦环游记,https://movie.douban.com/subject/20495023/,4.5,9.1,1723287
26,末代皇帝,https://movie.douban.com/subject/1293172/,4.5,9.3,907188
