日期,确诊人数,治愈人数,死亡人数
3.1,69,0,1
3.2,89,0,2
3.3,106,3,6
3.4,125,3,9
3.5,161,8,11
3.6,233,8,14
3.7,345,10,17
3.8,445,10,19
3.9,572,10,22
3.10,717,10,26
3.11,1010,10,31
3.12,1322,15,38
3.13,1264,41,36
3.14,1678,56,41
3.15,3499,56,62
3.16,4629,56,90
3.17,5894,56,97
3.18,9345,106,150
3.19,14250,121,205
3.20,19624,147,260
3.21,22043,147,278
3.22,32717,178,409
3.23,46332,178,552
3.24,53268,178,696
3.25,65285,378,926
3.26,83507,680,1201
3.27,101657,869,1581
3.28,121117,961,2010
3.29,139675,2661,2436
3.30,161367,5595,2956
3.31,184183,6043,3606
